X,Y,
-80.14940398,66.69852578,
-80.640856,66.7891861,
-81.13230103,66.87987833,
-81.62374108,66.97060505,
-82.1151739,67.06136915,
-82.606598,67.1521753,
-83.09801415,67.24303095,
-83.58941905,67.33394593,
-84.08080955,67.42493435,
-84.57218393,67.5160153,
-85.06353633,67.60721325,
-85.55486055,67.6985595,
-86.04615088,67.79009225,
-86.53739768,67.881857,
-87.02859078,67.97390635,
-87.51971993,68.06629915,
-88.01077213,68.15909913,
-88.5017344,68.25237243,
-88.99259393,68.34618513,
-89.4833384,68.44059983,
-89.97395598,68.53567025,
-90.46443663,68.63144,
-90.95477,68.72793803,
-91.44496723,68.82517038,
-91.9350158,68.9231091,
-92.42493703,69.02169923,
-92.9147528,69.12085213,
-93.40446973,69.2204425,
-93.8941325,69.32031383,
-94.38378118,69.42027863,
-94.87344703,69.52012808,
-95.36318148,69.61965143,
-95.8530235,69.71865063,
-96.34300458,69.8169474,
-96.83315685,69.9143907,
-97.3235054,70.01084128,
-97.81407345,70.1061669,
-98.30488323,70.20023903,
-98.79595363,70.29294235,
-99.28729865,70.3841758,
-99.77892933,70.47385478,
-100.2708546,70.56191378,
-100.7630739,70.6483005,
-101.2555914,70.7329712,
-101.7484119,70.81587965,
-102.2415294,70.89697495,
-102.7349506,70.97620805,
-103.2286808,71.053523,
-103.7227093,71.12885423,
-104.2170475,71.202131,
-104.7117157,71.27326045,
-105.206701,71.34212603,
-105.7020192,71.40860943,
-106.1976228,71.47261128,
-106.6935714,71.53405793,
-107.1898144,71.59283305,
-107.6864253,71.6488316,
-108.1832993,71.70193018,
-108.6804725,71.7520242,
-109.1780718,71.79902115,
-109.6758031,71.842793,
-110.1738237,71.88325555,
-110.6723419,71.9203383,
-111.170791,71.95391658,
-111.6695238,71.98391443,
-112.1688361,72.01047303,
-112.6677748,72.03374963,
-113.1672883,72.05360595,
-113.6669294,72.06969838,
-114.1667365,72.08169488,
-114.6666873,72.08944238,
-115.1660114,72.0928171,
-115.6665461,72.0916944,
-116.1663805,72.08596495,
-116.6651742,72.07556418,
-117.1657959,72.060343,
-117.6651527,72.04033163,
-118.1631209,72.01553248,
-118.6628977,71.9856972,
-119.1611281,71.95075393,
-119.6585486,71.91041525,
-120.1561309,71.86452665,
-120.6530595,71.81333793,
-121.1495149,71.75676578,
-121.6455989,71.69464063,
-122.1403137,71.62699208,
-122.6342784,71.55354788,
-123.1280249,71.47396305,
-123.619983,71.38831535,
-124.1107608,71.29652773,
-124.6013753,71.19824215,
-125.0900085,71.09340173,
-125.5766777,70.9813187,
-126.0622216,70.86103148,
-126.5451337,70.73234493,
-127.02541,70.59513523,
-127.5037927,70.44916878,
-127.9790664,70.29482578,
-128.4515935,70.13198245,
-128.9212911,69.96066138,
-129.3876875,69.78104863,
-129.8509901,69.59308935,
-130.3104943,69.39710685,
-130.7669588,69.19280468,
-131.2196065,68.9805504,
-131.6677382,68.76071955,
-132.1131013,68.53248205,
-132.5537766,68.29694555,
-132.9899029,68.05437025,
-133.422698,67.80435973,
-133.8509166,67.54727545,
-134.2749804,67.28264548,
-134.6941683,67.0109107,
-135.1086674,66.73199655,
-135.5186707,66.44582065,
-135.9233474,66.15304,
-136.3231766,65.8534133,
-136.7183222,65.54689938,
-137.107887,65.23434483,
-137.4926196,64.91544533,
-137.8726971,64.59041348,
-138.247436,64.26022415,
-138.6175694,63.92444418,
-138.9829686,63.583074,
-139.3428291,63.2364732,
-139.6973745,62.88382833,
-140.0456942,62.5256513,
-140.3884717,62.1611429,
-140.7247093,61.79130388,
-141.0543298,61.4162356,
-141.3785099,61.03459955,
-141.6955023,60.64853018,
-142.0057361,60.25770053,
-142.3106476,59.86042618,
-142.6083424,59.45935868,
-142.8991287,59.05435943,
-143.1844387,58.64339983,
-143.462333,58.22875538,
-143.7335538,57.80926253,
-143.9981107,57.38523335,
-144.2558928,56.9572245,
-144.5071986,56.52517673,
-144.7524392,56.0896241,
-144.9921152,55.65147435,
-145.2261496,55.21120343,
-145.4556058,54.76686048,
-145.6796044,54.3205133,
-145.8984068,53.87207345,
-146.1126099,53.41901935,
-146.3198122,52.9642369,
-146.5198595,52.50599875,
-146.712636,52.0443463,
-146.8978555,51.58016348,
-147.0752318,51.11276688,
-147.2442969,50.64263493,
-147.4052174,50.16926275,
-147.5578357,49.69325593,
-147.7020424,49.2152139,
-147.8382624,48.7339026,
-147.9661371,48.25074813,
-148.0856544,47.76608975,
-148.1972247,47.27837885,
-148.30045,46.7894334,
-148.3953523,46.2993586,
-148.4822264,45.8067263,
-148.5608815,45.31355425,
-148.6316265,44.8190681,
-148.6944743,44.3236483,
-148.7491747,43.82714325,
-148.7956305,43.32908653,
-148.8337163,42.83120455,
-148.8635797,42.33247993,
-148.885281,41.8326762,
-148.8988272,41.3335096,
-148.904353,40.83379448,
-148.901935,40.33358605,
-148.8916907,39.83428228,
-148.8737177,39.33475613,
-148.8481124,38.83544135,
-148.8150242,38.3369339,
-148.7747073,37.83855573,
-148.7273612,37.34108008,
-148.6727055,36.84348043,
-148.6106644,36.34743393,
-148.5410523,35.85290013,
-148.4634835,35.3576787,
-148.3785998,34.86563105,
-148.2863896,34.3755592,
-148.1864889,33.8840946,
-148.0804912,33.3961302,
-147.9691485,32.91063465,
-147.8528245,32.42449085,
-147.7328604,31.94035108,
-147.6086473,31.45924665,
-147.4765266,30.97626408,
-147.3368511,30.49821635,
-147.1900886,30.0215412,
-147.0359403,29.54225948,
-146.8775607,29.06863,
-146.7135909,28.59468753,
-146.5465426,28.1237947,
-146.3770448,27.65167315,
-146.2090602,27.18091455,
-146.0443735,26.711057,
-145.8815964,26.2367108,
-145.7229846,25.76311438,
-145.5687536,25.28958575,
-145.4182011,24.81191555,
-145.2737308,24.33401438,
-145.1358612,23.85425633,
-145.0051984,23.37190298,
-144.8826624,22.88745873,
-144.7690392,22.4009123,
-144.6649723,21.91209338,
-144.5710558,21.42142988,
-144.4877335,20.9288376,
-144.4154699,20.43424283,
-144.3548331,19.93829023,
-144.3063166,19.44132438,
-144.270363,18.94284795,
-144.2475339,18.4432282,
-144.2384505,17.94453203,
-144.2438459,17.44496515,
-144.2644503,16.94443955,
-144.3004747,16.44740548,
